Year,Kategorija,Units,Starost,Lokacija,Pol,Value
2019,Udio stanovništva ispod međunarodne linije siromaštva,procenat,15-64 godine,Sve lokacije,Oba pola,1.86554
2019,Udio stanovništva ispod međunarodne linije siromaštva,procenat,manje od 15 godina,Sve lokacije,Oba pola,3.56185
2019,Udio stanovništva ispod međunarodne linije siromaštva,procenat,65 godina,Sve lokacije,Oba pola,0.6276
2019,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Gradsko,Oba pola,1.15808
2019,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Ruralno,Oba pola,3.53123
2019,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Sve lokacije,Muškarci,2.02484
2019,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Sve lokacije,Žene,1.97049
2020,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Sve lokacije,Muškarci,1.84162
2020,Udio stanovništva ispod međunarodne linije siromaštva,procenat,15-64 godine,Sve lokacije,Oba pola,1.72506
2020,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Sve lokacije,Žene,1.98871
2020,Udio stanovništva ispod međunarodne linije siromaštva,procenat,65 godina,Sve lokacije,Oba pola,0.22752
2020,Udio stanovništva ispod međunarodne linije siromaštva,procenat,manje od 15 godina,Sve lokacije,Oba pola,4.14755
2020,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Gradsko,Oba pola,0.9289
2020,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Ruralno,Oba pola,3.69736
2020,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Sve lokacije,Oba pola,1.8
2021,Udio stanovništva ispod međunarodne linije siromaštva,procenat,Sve lokacije,Oba pola,sva godišta,2.0
2021,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Gradsko,Oba pola,1.68161
2021,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Sve lokacije,Žene,1.95119
2021,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Sve lokacije,Muškarci,2.2606
2021,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Ruralno,Oba pola,2.85668
2021,Udio stanovništva ispod međunarodne linije siromaštva,procenat,65 godina,Sve lokacije,Oba pola,0.42038
2021,Udio stanovništva ispod međunarodne linije siromaštva,procenat,15-64 godine,Sve lokacije,Oba pola,1.67483
2021,Udio stanovništva ispod međunarodne linije siromaštva,procenat,manje od 15 godina,Sve lokacije,Oba pola,5.25161
2005,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Žene,1.46
2005,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Muškarci,0.8
2005,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Žene,1.06
2005,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Muškarci,1.2
2005,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Žene,1.07
2005,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Oba pola,1.28
2005,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Oba pola,0.89
2005,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Muškarci,0.77
2005,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Oba pola,0.91
2006,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Muškarci,0.68
2006,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Oba pola,0.8
2006,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Oba pola,1.11
2006,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Žene,0.92
2006,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Žene,0.9
2006,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Oba pola,0.78
2006,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Muškarci,1.03
2006,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Muškarci,0.71
2006,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Žene,1.28
2007,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Muškarci,0.64
2007,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Oba pola,0.69
2007,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Žene,1.13
2007,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Muškarci,0.9
2007,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Žene,0.78
2007,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Žene,0.8
2007,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Oba pola,0.99
2007,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Oba pola,0.71
2007,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Muškarci,0.62
2008,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Muškarci,0.54
2008,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Oba pola,0.61
2008,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Žene,0.69
2008,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Oba pola,0.85
2008,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Žene,0.67
2008,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Muškarci,0.56
2008,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Oba pola,0.6
2008,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Muškarci,0.78
2008,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Žene,0.98
2009,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Muškarci,0.74
2009,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Žene,0.93
2009,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Oba pola,0.56
2009,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Žene,0.64
2009,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Žene,0.66
2009,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Oba pola,0.81
2009,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Muškarci,0.52
2009,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Muškarci,0.5
2009,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Oba pola,0.58
2010,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Muškarci,0.45
2010,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Oba pola,0.52
2010,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Muškarci,0.46
2010,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Oba pola,0.74
2010,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Žene,0.6
2010,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Žene,0.58
2010,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Žene,0.85
2010,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Muškarci,0.67
2010,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Oba pola,0.51
2011,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Žene,0.79
2011,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Muškarci,0.62
2011,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Žene,0.55
2011,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Oba pola,0.47
2011,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Žene,0.54
2011,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Muškarci,0.42
2011,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Oba pola,0.48
2011,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Muškarci,0.41
2011,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Oba pola,0.68
2012,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Muškarci,0.41
2012,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Oba pola,0.47
2012,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Oba pola,0.67
2012,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Muškarci,0.42
2012,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Žene,0.51
2012,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Žene,0.77
2012,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Oba pola,0.45
2012,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Žene,0.53
2012,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Muškarci,0.59
2013,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Muškarci,0.53
2013,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Žene,0.48
2013,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Oba pola,0.41
2013,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Oba pola,0.61
2013,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Muškarci,0.36
2013,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Muškarci,0.37
2013,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Oba pola,0.42
2013,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Žene,0.47
2013,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Žene,0.69
2014,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Žene,0.45
2014,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Žene,0.67
2014,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Žene,0.44
2014,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Oba pola,0.41
2014,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Muškarci,0.36
2014,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Muškarci,0.37
2014,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Oba pola,0.58
2014,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Oba pola,0.39
2014,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Muškarci,0.52
2015,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Oba pola,0.38
2015,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Muškarci,0.49
2015,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Žene,0.44
2015,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Oba pola,0.4
2015,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Oba pola,0.57
2015,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Muškarci,0.36
2015,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Žene,0.42
2015,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Muškarci,0.35
2015,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Žene,0.65
2016,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Žene,1.21
2016,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Žene,0.76
2016,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Muškarci,0.65
2016,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Muškarci,0.67
2016,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Oba pola,0.73
2016,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Oba pola,1.05
2016,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Žene,0.8
2016,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Muškarci,0.91
2016,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Oba pola,0.7
2017,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Oba pola,0.94
2017,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Muškarci,1.2
2017,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Žene,1.04
2017,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Oba pola,1.36
2017,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Muškarci,0.92
2017,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Oba pola,0.97
2017,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Muškarci,0.89
2017,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Žene,1.57
2017,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Žene,1.0
2018,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Žene,0.84
2018,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Muškarci,0.78
2018,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Žene,1.35
2018,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Oba pola,0.83
2018,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Muškarci,0.8
2018,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Oba pola,1.16
2018,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 15 godina,,Žene,0.88
2018,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,15-24 godine,,Muškarci,1.02
2018,Zaposleno stanovništvo ispod međunarodne linije siromaštva,procenat,više od 25 godina,,Oba pola,0.81
2013,Stopa rizika od siromaštva (EU-SILC),procenat,sva godišta,Sve lokacije,Oba pola,25.2
2013,Stopa rizika od siromaštva (EU-SILC),procenat,sva godišta,Sve lokacije,Muškarci,24.9
2013,Stopa rizika od siromaštva (EU-SILC),procenat,sva godišta,Sve lokacije,Žene,25.4
2013,Stopa rizika od siromaštva (EU-SILC),procenat,manje od 18 godina,Sve lokacije,Oba pola,34.7
2013,Stopa rizika od siromaštva (EU-SILC),procenat,18-24 godine,Sve lokacije,Oba pola,27.7
2013,Stopa rizika od siromaštva (EU-SILC),procenat,25-54 godine,Sve lokacije,Oba pola,24.4
2013,Stopa rizika od siromaštva (EU-SILC),procenat,55-64 godine,Sve lokacije,Oba pola,16.0
2013,Stopa rizika od siromaštva (EU-SILC),procenat,65 ili više godina,Sve lokacije,Oba pola,15.6
2013,Stopa rizika od siromaštva (EU-SILC),procenat,18-64 godine,Sve lokacije,Oba pola,23.3
2014,Stopa rizika od siromaštva (EU-SILC),procenat,sva godišta,Sve lokacije,Oba pola,24.1
2014,Stopa rizika od siromaštva (EU-SILC),procenat,sva godišta,Sve lokacije,Muškarci,24.2
2014,Stopa rizika od siromaštva (EU-SILC),procenat,sva godišta,Sve lokacije,Žene,23.9
2014,Stopa rizika od siromaštva (EU-SILC),procenat,manje od 18 godina,Sve lokacije,Oba pola,31.8
2014,Stopa rizika od siromaštva (EU-SILC),procenat,18-24 godine,Sve lokacije,Oba pola,30.8
2014,Stopa rizika od siromaštva (EU-SILC),procenat,25-54 godine,Sve lokacije,Oba pola,23.3
2014,Stopa rizika od siromaštva (EU-SILC),procenat,55-64 godine,Sve lokacije,Oba pola,16.3
2014,Stopa rizika od siromaštva (EU-SILC),procenat,65 ili više godina,Sve lokacije,Oba pola,13.1
2014,Stopa rizika od siromaštva (EU-SILC),procenat,18-64 godine,Sve lokacije,Oba pola,23.2
2015,Stopa rizika od siromaštva (EU-SILC),procenat,sva godišta,Sve lokacije,Oba pola,24.4
2015,Stopa rizika od siromaštva (EU-SILC),procenat,sva godišta,Sve lokacije,Muškarci,24.4
2015,Stopa rizika od siromaštva (EU-SILC),procenat,sva godišta,Sve lokacije,Žene,24.5
2015,Stopa rizika od siromaštva (EU-SILC),procenat,manje od 18 godina,Sve lokacije,Oba pola,32.6
2015,Stopa rizika od siromaštva (EU-SILC),procenat,18-24 godine,Sve lokacije,Oba pola,28.0
2015,Stopa rizika od siromaštva (EU-SILC),procenat,25-54 godine,Sve lokacije,Oba pola,23.4
2015,Stopa rizika od siromaštva (EU-SILC),procenat,55-64 godine,Sve lokacije,Oba pola,19.9
2015,Stopa rizika od siromaštva (EU-SILC),procenat,65 ili više godina,Sve lokacije,Oba pola,14.9
2015,Stopa rizika od siromaštva (EU-SILC),procenat,18-64 godine,Sve lokacije,Oba pola,23.4
2016,Stopa rizika od siromaštva (EU-SILC),procenat,sva godišta,Sve lokacije,Oba pola,24.0
2016,Stopa rizika od siromaštva (EU-SILC),procenat,sva godišta,Sve lokacije,Muškarci,24.5
2016,Stopa rizika od siromaštva (EU-SILC),procenat,sva godišta,Sve lokacije,Žene,23.6
2016,Stopa rizika od siromaštva (EU-SILC),procenat,manje od 18 godina,Sve lokacije,Oba pola,30.9
2016,Stopa rizika od siromaštva (EU-SILC),procenat,18-24 godine,Sve lokacije,Oba pola,29.6
2016,Stopa rizika od siromaštva (EU-SILC),procenat,25-54 godine,Sve lokacije,Oba pola,22.6
2016,Stopa rizika od siromaštva (EU-SILC),procenat,55-64 godine,Sve lokacije,Oba pola,20.3
2016,Stopa rizika od siromaštva (EU-SILC),procenat,65 ili više godina,Sve lokacije,Oba pola,16.1
2016,Stopa rizika od siromaštva (EU-SILC),procenat,18-64 godine,Sve lokacije,Oba pola,23.2
2017,Stopa rizika od siromaštva (EU-SILC),procenat,sva godišta,Sve lokacije,Oba pola,23.6
2017,Stopa rizika od siromaštva (EU-SILC),procenat,sva godišta,Sve lokacije,Muškarci,24.2
2017,Stopa rizika od siromaštva (EU-SILC),procenat,sva godišta,Sve lokacije,Žene,23.0
2017,Stopa rizika od siromaštva (EU-SILC),procenat,manje od 18 godina,Sve lokacije,Oba pola,31.7
2017,Stopa rizika od siromaštva (EU-SILC),procenat,18-24 godine,Sve lokacije,Oba pola,27.8
2017,Stopa rizika od siromaštva (EU-SILC),procenat,25-54 godine,Sve lokacije,Oba pola,22.5
2017,Stopa rizika od siromaštva (EU-SILC),procenat,55-64 godine,Sve lokacije,Oba pola,18.8
2017,Stopa rizika od siromaštva (EU-SILC),procenat,65 ili više godina,Sve lokacije,Oba pola,15.4
2017,Stopa rizika od siromaštva (EU-SILC),procenat,18-64 godine,Sve lokacije,Oba pola,22.5
2018,Stopa rizika od siromaštva (EU-SILC),procenat,sva godišta,Sve lokacije,Oba pola,23.8
2018,Stopa rizika od siromaštva (EU-SILC),procenat,sva godišta,Sve lokacije,Muškarci,24.1
2018,Stopa rizika od siromaštva (EU-SILC),procenat,sva godišta,Sve lokacije,Žene,23.5
2018,Stopa rizika od siromaštva (EU-SILC),procenat,manje od 18 godina,Sve lokacije,Oba pola,32.4
2018,Stopa rizika od siromaštva (EU-SILC),procenat,18-24 godine,Sve lokacije,Oba pola,25.0
2018,Stopa rizika od siromaštva (EU-SILC),procenat,25-54 godine,Sve lokacije,Oba pola,22.4
2018,Stopa rizika od siromaštva (EU-SILC),procenat,55-64 godine,Sve lokacije,Oba pola,18.6
2018,Stopa rizika od siromaštva (EU-SILC),procenat,65 ili više godina,Sve lokacije,Oba pola,15.3
2018,Stopa rizika od siromaštva (EU-SILC),procenat,18-64 godine,Sve lokacije,Oba pola,22.0
2019,Stopa rizika od siromaštva (EU-SILC),procenat,sva godišta,Sve lokacije,Oba pola,24.5
2019,Stopa rizika od siromaštva (EU-SILC),procenat,sva godišta,Sve lokacije,Muškarci,24.9
2019,Stopa rizika od siromaštva (EU-SILC),procenat,sva godišta,Sve lokacije,Žene,24.0
2019,Stopa rizika od siromaštva (EU-SILC),procenat,manje od 18 godina,Sve lokacije,Oba pola,33.7
2019,Stopa rizika od siromaštva (EU-SILC),procenat,18-24 godine,Sve lokacije,Oba pola,30.5
2019,Stopa rizika od siromaštva (EU-SILC),procenat,25-54 godine,Sve lokacije,Oba pola,22.5
2019,Stopa rizika od siromaštva (EU-SILC),procenat,55-64 godine,Sve lokacije,Oba pola,19.0
2019,Stopa rizika od siromaštva (EU-SILC),procenat,65 ili više godina,Sve lokacije,Oba pola,15.1
2019,Stopa rizika od siromaštva (EU-SILC),procenat,18-64 godine,Sve lokacije,Oba pola,23.0
2020,Stopa rizika od siromaštva (EU-SILC),procenat,sva godišta,Sve lokacije,Oba pola,22.6
2020,Stopa rizika od siromaštva (EU-SILC),procenat,sva godišta,Sve lokacije,Muškarci,23.0
2020,Stopa rizika od siromaštva (EU-SILC),procenat,sva godišta,Sve lokacije,Žene,22.2
2020,Stopa rizika od siromaštva (EU-SILC),procenat,manje od 18 godina,Sve lokacije,Oba pola,32.6
2020,Stopa rizika od siromaštva (EU-SILC),procenat,18-24 godine,Sve lokacije,Oba pola,25.2
