Year,Units,Lokacija,Kategorija,Value
2017,količina,Budva,sakupljen otpad,14908
2017,količina,Cetinje,sakupljen otpad,7422
2017,količina,Danilovgrad,sakupljen otpad,3449
2017,količina,Herceg Novi,sakupljen otpad,19293
2017,količina,Kolašin,sakupljen otpad,1613
2017,količina,Kotor,sakupljen otpad,12451
2017,količina,Mojkovac,sakupljen otpad,3780
2017,količina,Nikšić,sakupljen otpad,25000
2017,količina,Plav (sa Gusinjem),sakupljen otpad,655
2017,količina,Pljevlja,sakupljen otpad,7096
2017,količina,Plužine,sakupljen otpad,413
2017,količina,Podgorica,sakupljen otpad,86956
2017,količina,Rožaje,sakupljen otpad,4563
2017,količina,Šavnik,sakupljen otpad,350
2017,količina,Tivat,sakupljen otpad,12327
2017,količina,Ulcinj,sakupljen otpad,12231
2017,količina,Žabljak,sakupljen otpad,1356
2017,količina,Andrijevica,proizveden otpad,1196
2017,količina,Bar,proizveden otpad,25978
2017,količina,Berane (sa Petnjicom),proizveden otpad,8038
2017,količina,Bijelo Polje,proizveden otpad,12150
2017,količina,Budva,proizveden otpad,25004
2017,količina,Cetinje,proizveden otpad,6581
2017,količina,Danilovgrad,proizveden otpad,5042
2017,količina,Herceg Novi,proizveden otpad,20048
2017,količina,Kolašin,proizveden otpad,2318
2017,količina,Kotor,proizveden otpad,10182
2017,količina,Mojkovac,proizveden otpad,2258
2017,količina,Nikšić,proizveden otpad,22037
2017,količina,Plav (sa Gusinjem),proizveden otpad,3458
2017,količina,Pljevlja,proizveden otpad,8600
2017,količina,Plužine,proizveden otpad,401
2017,količina,Podgorica,proizveden otpad,72092
2017,količina,Rožaje,proizveden otpad,5975
2017,količina,Šavnik,proizveden otpad,521
2017,količina,Tivat,proizveden otpad,8768
2017,količina,Ulcinj,proizveden otpad,12258
2017,količina,Žabljak,proizveden otpad,1136
2017,količina,Andrijevica,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,319
2017,količina,Bar,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,23502
2017,količina,Berane (sa Petnjicom),prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,7837
2017,količina,Bijelo Polje,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,8477
2017,količina,Budva,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,14908
2017,količina,Cetinje,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,7422
2017,količina,Danilovgrad,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,3449
2017,količina,Herceg Novi,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,19293
2017,količina,Kolašin,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,1613
2017,količina,Kotor,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,2269
2017,količina,Mojkovac,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,3780
2017,količina,Nikšić,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,25000
2017,količina,Plav (sa Gusinjem),prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,655
2017,količina,Pljevlja,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,7906
2017,količina,Plužine,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,12
2017,količina,Podgorica,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,86956
2017,količina,Rožaje,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,4563
2017,količina,Šavnik,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,350
2017,količina,Tivat,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,12327
2017,količina,Ulcinj,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,12231
2017,količina,Žabljak,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,3356
2020,količina,Andrijevica,sakupljen otpad,290
2020,količina,Bar,sakupljen otpad,19888
2020,količina,Berane (sa Petnjicom),sakupljen otpad,9340
2020,količina,Bijelo Polje,sakupljen otpad,9737
2020,količina,Budva,sakupljen otpad,21556
2020,količina,Cetinje,sakupljen otpad,5247
2020,količina,Danilovgrad,sakupljen otpad,5061
2020,količina,Herceg Novi,sakupljen otpad,19343
2020,količina,Kolašin,sakupljen otpad,1582
2020,količina,Kotor,sakupljen otpad,14136
2020,količina,Mojkovac,sakupljen otpad,1818
2020,količina,Nikšić,sakupljen otpad,25000
2020,količina,Plav (sa Gusinjem),sakupljen otpad,639
2020,količina,Pljevlja,sakupljen otpad,7156
2020,količina,Plužine,sakupljen otpad,389
2020,količina,Podgorica,sakupljen otpad,93348
2020,količina,Rožaje,sakupljen otpad,5515
2020,količina,Šavnik,sakupljen otpad,244
2020,količina,Tivat,sakupljen otpad,13211
2020,količina,Ulcinj,sakupljen otpad,12636
2020,količina,Žabljak,sakupljen otpad,1300
2020,količina,Andrijevica,proizveden otpad,1205
2020,količina,Bar,proizveden otpad,28120
2020,količina,Berane (sa Petnjicom),proizveden otpad,8101
2020,količina,Bijelo Polje,proizveden otpad,12247
2020,količina,Budva,proizveden otpad,27065
2020,količina,Cetinje,proizveden otpad,7124
2020,količina,Danilovgrad,proizveden otpad,5458
2020,količina,Herceg Novi,proizveden otpad,21700
2020,količina,Kolašin,proizveden otpad,2337
2020,količina,Kotor,proizveden otpad,14646
2020,količina,Mojkovac,proizveden otpad,2276
2020,količina,Nikšić,proizveden otpad,23854
2020,količina,Plav (sa Gusinjem),proizveden otpad,3485
2020,količina,Pljevlja,proizveden otpad,8669
2020,količina,Plužine,proizveden otpad,1192
2020,količina,Podgorica,proizveden otpad,72963
2020,količina,Rožaje,proizveden otpad,6005
2020,količina,Šavnik,proizveden otpad,525
2020,količina,Tivat,proizveden otpad,9490
2020,količina,Ulcinj,proizveden otpad,13621
2020,količina,Žabljak,proizveden otpad,1145
2020,količina,Andrijevica,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,290
2020,količina,Bar,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,19888
2020,količina,Berane (sa Petnjicom),prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,8540
2020,količina,Bijelo Polje,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,9737
2020,količina,Budva,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,21556
2020,količina,Cetinje,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,5247
2020,količina,Danilovgrad,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,5061
2020,količina,Herceg Novi,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,19341
2020,količina,Kolašin,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,1582
2020,količina,Kotor,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,14136
2020,količina,Mojkovac,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,1818
2020,količina,Nikšić,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,25000
2020,količina,Plav (sa Gusinjem),prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,639
2020,količina,Pljevlja,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,7156
2020,količina,Plužine,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,389
2020,količina,Podgorica,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,93348
2020,količina,Rožaje,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,5515
2020,količina,Šavnik,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,244
2020,količina,Tivat,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,13211
2020,količina,Ulcinj,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,9709
2020,količina,Žabljak,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,1300
2021,količina,Andrijevica,sakupljen otpad,285
2021,količina,Bar,sakupljen otpad,28622
2021,količina,Berane (sa Petnjicom),sakupljen otpad,7700
2021,količina,Bijelo Polje,sakupljen otpad,11945
2021,količina,Budva,sakupljen otpad,21510
2021,količina,Cetinje,sakupljen otpad,4996
2021,količina,Danilovgrad,sakupljen otpad,4570
2021,količina,Herceg Novi,sakupljen otpad,21828
2021,količina,Kolašin,sakupljen otpad,1750
2021,količina,Kotor,sakupljen otpad,14216
2021,količina,Mojkovac,sakupljen otpad,1980
2021,količina,Nikšić,sakupljen otpad,28000
2021,količina,Plav (sa Gusinjem),sakupljen otpad,661
2021,količina,Pljevlja,sakupljen otpad,5808
2021,količina,Plužine,sakupljen otpad,456
2021,količina,Podgorica,sakupljen otpad,85100
2021,količina,Rožaje,sakupljen otpad,6227
2021,količina,Šavnik,sakupljen otpad,239
2021,količina,Tivat,sakupljen otpad,15213
2021,količina,Ulcinj,sakupljen otpad,13496
2021,količina,Žabljak,sakupljen otpad,1500
2021,količina,Andrijevica,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,285
2021,količina,Bar,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,28622
2021,količina,Berane (sa Petnjicom),prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,7690
2021,količina,Bijelo Polje,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,11945
2021,količina,Budva,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,21510
2021,količina,Cetinje,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,4996
2021,količina,Danilovgrad,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,4570
2021,količina,Herceg Novi,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,21828
2021,količina,Kolašin,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,1632
2021,količina,Kotor,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,14216
2021,količina,Mojkovac,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,1980
2021,količina,Nikšić,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,28000
2021,količina,Plav (sa Gusinjem),prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,661
2021,količina,Pljevlja,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,5808
2021,količina,Plužine,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,456
2021,količina,Podgorica,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,85100
2021,količina,Rožaje,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,6227
2021,količina,Šavnik,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,239
2021,količina,Tivat,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,15213
2021,količina,Ulcinj,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,13496
2021,količina,Žabljak,prerađen otpad + odloženi otpad na sanitarnim deponijama + privremeno uskladišteni otpad,1700
