Year,Units,Age,Category,Value
2017,percent,youth,"Using software to edit photos, video or audio files",27.8
2017,percent,adult,"Using software to edit photos, video or audio files",19.0
2018,percent,youth,"Using software to edit photos, video or audio files",36.4
2018,percent,adult,"Using software to edit photos, video or audio files",21.0
2019,percent,youth,"Using software to edit photos, video or audio files",38.4
2019,percent,adult,"Using software to edit photos, video or audio files",24.4
2020,percent,youth,"Using software to edit photos, video or audio files",49.2
2020,percent,adult,"Using software to edit photos, video or audio files",26.5
2021,percent,youth,"Using software to edit photos, video or audio files",37.8
2021,percent,adult,"Using software to edit photos, video or audio files",25.6
2022,percent,youth,"Using software to edit photos, video or audio files",49.8
2022,percent,adult,"Using software to edit photos, video or audio files",27.4
2023,percent,youth,"Using software to edit photos, video or audio files",40.9
2023,percent,adult,"Using software to edit photos, video or audio files",28.6
2015,percent,youth,Writing code in a programming language,3.8
2015,percent,adult,Writing code in a programming language,1.7
2016,percent,youth,Writing code in a programming language,3.6
2016,percent,adult,Writing code in a programming language,2.3
2017,percent,youth,Writing code in a programming language,6.8
2017,percent,adult,Writing code in a programming language,4.0
2018,percent,youth,Writing code in a programming language,8.5
2018,percent,adult,Writing code in a programming language,4.8
2019,percent,youth,Writing code in a programming language,8.4
2019,percent,adult,Writing code in a programming language,5.5
2020,percent,youth,Writing code in a programming language,14.9
2020,percent,adult,Writing code in a programming language,7.5
2021,percent,youth,Writing code in a programming language,14.0
2021,percent,adult,Writing code in a programming language,8.5
2022,percent,youth,Writing code in a programming language,9.4
2022,percent,adult,Writing code in a programming language,9.0
2023,percent,youth,Writing code in a programming language,9.9
2023,percent,adult,Writing code in a programming language,9.7
2024,percent,youth,Installing software or applications (apps),63.5
2024,percent,adult,Installing software or applications (apps),58.5
2024,percent,youth,"Changing the settings of any software, including operational system or security programs",42.5
2024,percent,adult,"Changing the settings of any software, including operational system or security programs",30.7
2024,percent,youth,Using word processing software,87.2
2024,percent,adult,Using word processing software,71.9
2024,percent,youth,"Creating presentations or documents integrating text, pictures, tables or charts",60.9
2024,percent,adult,"Creating presentations or documents integrating text, pictures, tables or charts",43.7
2024,percent,youth,Using spread sheet software,56.4
2024,percent,adult,Using spread sheet software,41.8
2024,percent,youth,"Using advanced functions of spread sheet software to organise and analyse data, such as sorting, filtering, using formulas, creating charts",37.7
2024,percent,adult,"Using advanced functions of spread sheet software to organise and analyse data, such as sorting, filtering, using formulas, creating charts",23.0
2024,percent,youth,"Using software to edit photos, video or audio files",42.9
2024,percent,adult,"Using software to edit photos, video or audio files",28.3
2024,percent,youth,Writing code in a programming language,13.3
2024,percent,adult,Writing code in a programming language,9.8
2025,percent,youth,Installing software or applications (apps),50.9
2025,percent,adult,Installing software or applications (apps),55.2
2025,percent,youth,"Changing the settings of any software, including operational system or security programs",43.3
2025,percent,adult,"Changing the settings of any software, including operational system or security programs",30.2
2025,percent,youth,Using word processing software,67.1
2025,percent,adult,Using word processing software,66.9
2025,percent,youth,"Creating presentations or documents integrating text, pictures, tables or charts",63.5
2025,percent,adult,"Creating presentations or documents integrating text, pictures, tables or charts",43.8
2025,percent,youth,Using spread sheet software,53.0
2025,percent,adult,Using spread sheet software,42.0
2025,percent,youth,"Using advanced functions of spread sheet software to organise and analyse data, such as sorting, filtering, using formulas, creating charts",24.5
2025,percent,adult,"Using advanced functions of spread sheet software to organise and analyse data, such as sorting, filtering, using formulas, creating charts",21.4
2025,percent,youth,"Using software to edit photos, video or audio files",35.1
2025,percent,adult,"Using software to edit photos, video or audio files",25.8
2025,percent,youth,Writing code in a programming language,6.8
2025,percent,adult,Writing code in a programming language,12.0
